nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0280707,tt0105151,tt0108122,tt0073440
nm0000266	Ursula Andress	1936	\N	actress	tt0061452,tt0055928,tt0060177,tt0082186
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0084865,tt0059742,tt0058331,tt0247638
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0060646,tt0066892,tt0056891,tt0107050
nm0000269	Jean-Jacques Annaud	1943	\N	director,producer,writer	tt0091605,tt0215750,tt0120102,tt2909116
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0114660,tt0105323,tt0108333,tt0810788
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0160009,tt0108122,tt0093010,tt0105112
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0401711,tt0086551,tt0127536,tt0283832
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt0104348,tt0449059,tt1024648,tt0099487
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0151738,tt0117571,tt0120082,tt0134084
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0089017,tt0110912,tt0190138,tt0088680
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0167260,tt0120737,tt0167261
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0057115,tt0107290,tt0083987,tt0110527
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0096697,tt1839481,tt0115685,tt0132347
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0072288,tt0078607,tt0080213,tt1414382
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0270846,tt0281680,tt0070992,tt0367279
nm0000282	Scott Bairstow	1970	\N	actor	tt0283084,tt0120512,tt0182587,tt0119925
nm0000283	Brenda Bakke	1963	\N	actress	tt0119488,tt0114608,tt0114781,tt0107144
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0379786,tt0116629,tt0093058,tt0187393
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0104348,tt0318374,tt0407887,tt1230414
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0114814,tt0158622,tt0115683,tt0486583
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0108162,tt0367089,tt0101393,tt0113010
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt1800241,tt0144084,tt0468569,tt0372784
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0086856,tt0108330,tt0157503,tt0116277
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0089755,tt0081534,tt0093428,tt0099348
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt0118884,tt2302755,tt0114558,tt1825683
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt0120737,tt1181791,tt0944947,tt0167261
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0092400,tt0247121,tt0089175,tt0338067
nm0000295	Kate Beckinsale	1973	\N	actress,producer,soundtrack	tt0338526,tt0401855,tt0452702,tt0320691
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0085862,tt0112178,tt0087799,tt0113987
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt1375666,tt0085244,tt0091763,tt0097815
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0094514,tt0901476,tt0083987,tt0212346
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0088247,tt1077258,tt0090605,tt0117500
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt1219827,tt0116209,tt2452254,tt0241303
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0105112,tt0107120,tt0169547,tt0162346
nm0000302	Jacqueline Bisset	1944	\N	actress,producer,soundtrack	tt0062765,tt0071877,tt0088322,tt0061452
nm0000303	Honor Blackman	1925	2020	actress,soundtrack	tt0243155,tt0057197,tt0058150,tt0054518
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0070047,tt0079822,tt0082511,tt0088044
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0094939,tt0096438,tt0077278,tt0045708
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0080745,tt0120855,tt0107616,tt0120915
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt0137523,tt0408236,tt1504320,tt1707386
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0086662,tt0048356,tt0069113,tt0082340
nm0000309	David Bowie	1947	2016	soundtrack,composer,actor	tt0482571,tt0196229,tt0091369,tt0074851
nm0000310	Bruce Boxleitner	1950	\N	actor,soundtrack,producer	tt0871427,tt0105946,tt0084827,tt1104001
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0116287,tt0113277,tt0866437,tt0209069
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt0118715,tt1403865,tt1263670,tt2582782
nm0000314	Charles Bronson	1921	2003	actor	tt0057115,tt0054047,tt0071402,tt0064116
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0094012,tt0082517,tt0071230,tt0395251
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt2279373,tt1179056,tt0120201,tt0111161
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0408236,tt1142977,tt0121164,tt0099487
nm0000319	Yancy Butler	1970	\N	actress,director,writer	tt1650554,tt0107076,tt0274298,tt1250777
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0042804,tt0056732,tt0061395,tt0068361
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0114814,tt7784604,tt0146675,tt0100150
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0283832,tt0189142,tt0117060,tt0113947
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0124315,tt0258068,tt0482571,tt0468569
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0076210,tt0086006,tt0084112,tt0085862
nm0000325	David Caruso	1956	\N	actor,producer	tt0083944,tt0261983,tt0106079,tt0228750
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt0102975,tt0159206,tt1000774,tt1261945
nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0120738,tt0277371,tt0821640,tt0377092
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0072308,tt0085101,tt0072824,tt0076299
nm0000329	Jackie Chan	1954	\N	producer,actor,stunts	tt0089374,tt0127357,tt0120812,tt0266915
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,miscellaneous	tt0120791,tt0108149,tt0198021,tt0077631
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0080487,tt0092086,tt0085995,tt0097958
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt1540133,tt0395169,tt0988047,tt0375679
nm0000333	Cher	1946	\N	soundtrack,actress,composer	tt1126591,tt0093565,tt0100140,tt0089560
nm0000334	Chow Yun-Fat	1955	\N	actor,writer,soundtrack	tt0190332,tt0120008,tt1098327,tt0473444
nm0000335	Glenn Close	1947	\N	actress,producer,soundtrack	tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0067140,tt0054047,tt0057115,tt0056923
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0331811,tt0160862,tt11100856,tt5659816
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0068646,tt0071562,tt0078788,tt0071360
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0099612,tt0102926,tt0452608,tt0091419
nm0000340	Cindy Crawford	1966	\N	actress,producer,soundtrack	tt1441109,tt0113010,tt0120577,tt0115082
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0117998,tt0108757,tt0107290,tt0070909
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0117731,tt0144214,tt0120689,tt0119488
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0120907,tt0094964,tt0115964,tt0091064
nm0000344	Denise Crosby	1957	\N	actress,producer	tt0104119,tt0120647,tt0097889,tt0098084
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0122933,tt0101587,tt0113097,tt0098635
nm0000346	Macaulay Culkin	1980	\N	actor,director,producer	tt0107034,tt0099785,tt0102492,tt0104431
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0088930,tt0073629,tt0099810,tt0112715
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0053291,tt0066701,tt0054331,tt0051036
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt1659337,tt0119360,tt0119229,tt0096463
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0097958,tt0120434,tt0085995,tt0120586
nm0000351	Donna D'Errico	1968	\N	actress,director,producer	tt12861508,tt7235466,tt4270458,tt4459134
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0093058,tt0109707,tt0119654,tt0209958
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt7984734,tt5649144,tt6938828,tt0145487
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0134119,tt0119217,tt3659388,tt0407887
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt2527336,tt2488496,tt0080684,tt0076759
nm0000356	Sybil Danning	1952	\N	actress,producer,writer	tt0080421,tt0085672,tt0373883,tt0092546
nm0000357	Lolita Davidovich	1961	\N	actress	tt0096943,tt0092513,tt0102138,tt0329717
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0469494,tt0217505,tt0443272,tt0104691
nm0000360	Rebecca De Mornay	1959	\N	actress,soundtrack,producer	tt0396269,tt0104389,tt0089941,tt0086200
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0120832,tt0086984,tt0080661,tt0094226
nm0000362	Danny DeVito	1944	\N	actor,producer,director	tt0117008,tt0098621,tt0103776,tt0094142
nm0000363	Loren Dean	1969	\N	actor,soundtrack	tt0098258,tt0120660,tt0112384,tt0186566
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0052847,tt0052918,tt0053320,tt0056093
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0112471,tt0381681,tt0111507,tt0841044
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0283832,tt0168629,tt0059646,tt0061395
nm0000367	Gérard Depardieu	1948	\N	actor,producer,soundtrack	tt0103594,tt0099699,tt0099334,tt0120744
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt0107290,tt0090756,tt7653254,tt2305051
nm0000369	Matt Dillon	1964	\N	actor,art_department,director	tt0375679,tt4003440,tt0129387,tt0097240
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0029583,tt0058331,tt0048280,tt0034492
nm0000371	Ami Dolenz	1969	\N	actress,producer,miscellaneous	tt0056758,tt0110913,tt0092718,tt0108577
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0095488,tt0119528,tt0090466,tt0110428
nm0000374	Brad Dourif	1950	\N	actor	tt0167261,tt0099528,tt0087182,tt0073486
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt4154796,tt1300854,tt0371746,tt0988045
nm0000376	Fran Drescher	1957	\N	writer,actress,producer	tt0837562,tt0118691,tt0106080,tt0098546
nm0000377	Richard Dreyfuss	1947	\N	actor,producer,soundtrack	tt0069704,tt0076095,tt0073195,tt0075860
nm0000378	Minnie Driver	1970	\N	actress,soundtrack,producer	tt0112679,tt0119217,tt0496343,tt5592146
nm0000379	Kirsten Dunst	1982	\N	actress,producer,soundtrack	tt0110148,tt0110367,tt0145487,tt1527186
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0118632,tt0068646,tt0078788,tt0316356
nm0000381	Anthony Edwards	1962	\N	actor,producer,director	tt0088000,tt0108757,tt0443706,tt0092099
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0120255,tt2326612,tt1352824,tt0273435
nm0000383	Jennifer Ehle	1969	\N	actress	tt0112130,tt2392830,tt4919484,tt1790885
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0367594,tt0119654,tt0107688,tt0121164
nm0000385	Sam Elliott	1944	\N	actor,producer,soundtrack	tt5655222,tt1517451,tt0118715,tt0098206
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0319262,tt0116629,tt1628841,tt0120685
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,director	tt0087800,tt0093629,tt0095742,tt0329101
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0095647,tt0324216,tt0114369,tt0093058
nm0000389	Emilio Estevez	1962	\N	actor,director,producer	tt0308055,tt3294746,tt0100994,tt1441912
nm0000390	Joe Eszterhas	1944	\N	writer,producer,miscellaneous	tt0118577,tt0114436,tt0108162,tt0103772
nm0000391	Rupert Everett	1959	\N	actor,soundtrack,producer	tt0109592,tt2404639,tt0122541,tt0119738
nm0000392	Morgan Fairchild	1950	\N	actress,soundtrack,producer	tt1754944,tt0084652,tt0108778,tt0081858
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt0093779,tt0074937,tt1466074,tt0281322
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0114694,tt0115697,tt0118708,tt0106598
nm0000395	Terry Farrell	1963	\N	actress	tt0090685,tt0106145,tt0104409,tt0174378
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0074812,tt0082136,tt0079285,tt0073972
nm0000397	Corey Feldman	1971	\N	actor,producer,soundtrack	tt0087298,tt0093437,tt0092005,tt0089218
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0076729,tt0443272,tt0109830,tt0098384
nm0000399	David Fincher	1962	\N	producer,director,actor	tt0114369,tt2267998,tt1285016,tt0443706
nm0000400	Linda Fiorentino	1958	\N	actress,soundtrack	tt0119654,tt0120655,tt0110308,tt0088680
nm0000401	Laurence Fishburne	1961	\N	actor,producer,writer	tt1598778,tt0133093,tt0327056,tt0234215
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt0076759,tt0080684,tt0086190,tt2527336
nm0000403	Bridget Fonda	1964	\N	actress,soundtrack	tt0120324,tt0139414,tt0105414,tt0107843
nm0000404	Jane Fonda	1937	\N	actress,producer,soundtrack	tt0067309,tt3312830,tt0062711,tt0077362
nm0000405	Michelle Forbes	1965	\N	actress	tt0107302,tt0844441,tt1951266,tt0116225
nm0000406	John Ford	1894	1973	director,producer,writer	tt0045061,tt0032551,tt0031971,tt0056217
nm0000407	Vivica A. Fox	1964	\N	actress,producer,soundtrack	tt0118688,tt0373474,tt0266697,tt0116629
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0120844,tt0117731,tt0253754,tt0111280
nm0000409	Brendan Fraser	1968	\N	actor,producer,soundtrack	tt0119190,tt0375679,tt0209163,tt0120616
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0120514,tt0434409,tt0280707,tt0371724
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0120586,tt0165710,tt0103064,tt0990407
nm0000412	Andy Garcia	1956	\N	actor,producer,soundtrack	tt0240772,tt0343996,tt0099674,tt0349903
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0382932,tt0117979,tt0132347,tt0243655
nm0000414	Teri Garr	1947	\N	actress,soundtrack	tt0072431,tt0075860,tt0084805,tt0088680
nm0000415	Jami Gertz	1965	\N	actress,producer,executive	tt0093437,tt0320970,tt0088128,tt0117998
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0085959,tt0081633,tt0088846,tt0071853
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt0088763,tt0310357,tt1729632,tt0091860
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt0093409,tt0104714,tt0122151,tt1190080
nm0000419	Jean-Luc Godard	1930	\N	director,writer,editor	tt0053472,tt0056663,tt0057345,tt0059592
nm0000420	Valeria Golino	1965	\N	actress,producer,soundtrack	tt0095953,tt0102059,tt8613070,tt0107144
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,producer	tt0203019,tt0116695,tt0316465,tt0119822
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt0101410,tt1024648,tt1179933,tt1907668
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0276751,tt0314331,tt0109831,tt0125439
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt0092929,tt0446750,tt0097108,tt1702429
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt2013293,tt0092890,tt0087985,tt0091042
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0119396,tt0228333,tt0116996,tt0069897
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0006864,tt0009559,tt0010484,tt0004972
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0086984,tt0091983,tt0096463,tt0119558
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0087928,tt0094137,tt0089822,tt0091949
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0109642,tt0350258,tt0084434,tt0106469
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0265666,tt0071360,tt0067116,tt0105695
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0095519,tt0090021,tt0093437,tt0091445
nm0000434	Mark Hamill	1951	\N	actor,soundtrack,producer	tt0086190,tt0080684,tt0076759,tt2527336
nm0000435	Daryl Hannah	1960	\N	actress,producer,director	tt0088161,tt0378194,tt0094291,tt0266697
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0119488,tt0298203,tt0104389,tt0388125
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt5027774,tt2356777,tt0110632,tt0117318
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0800308,tt0183659,tt0120382,tt0112384
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt0460649,tt2267998,tt4834206,tt0120201
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous	tt0076984,tt0092115,tt0088323,tt0077215
nm0000442	Rutger Hauer	1944	2019	actor,producer,director	tt1640459,tt0401792,tt0083658,tt0091209
nm0000443	Goldie Hawn	1945	\N	actress,producer,soundtrack	tt0093693,tt0104070,tt0116242,tt0116313
nm0000444	Glenne Headly	1955	2017	actress	tt0095031,tt2229499,tt0113862,tt0099422
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0086979,tt0112697,tt0166924,tt0114814
nm0000446	Mariel Hemingway	1961	\N	actress,producer,soundtrack	tt0159730,tt0094074,tt0208874,tt0079522
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0077089,tt0102250,tt0087507,tt0105017
nm0000448	Lance Henriksen	1940	\N	actor,producer,miscellaneous	tt0370263,tt0107076,tt0090605,tt0093605
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0114508,tt0120841,tt0190138,tt0228333
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0472062,tt0379725,tt0292963,tt1560747
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0098554,tt0097351,tt0114011,tt0116242
nm0000452	Lauren Holly	1963	\N	actress,producer	tt0106770,tt0109686,tt0103512,tt0207201
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0088846,tt0120681,tt0167260,tt0120737
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0114898,tt0090756,tt0064276,tt0111257
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0093748,tt0088847,tt0090305,tt0091042
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0092699,tt0328538,tt3606756,tt0107822
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt1340800,tt0080678,tt0087803,tt0078748
nm0000458	William Hurt	1950	\N	actor,producer	tt0092699,tt0080360,tt0120738,tt0399146
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt0115639,tt1103987,tt0343737,tt0081283
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt0110357,tt0119558,tt2094766,tt0094964
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0120201,tt0100802,tt0092099,tt0081455
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0084293,tt0085088,tt0073972,tt0059978
nm0000463	Famke Janssen	1964	\N	actress,writer,director	tt0185371,tt0120903,tt0113189,tt0376994
nm0000464	Jim Jarmusch	1953	\N	director,writer,actor	tt0412019,tt0165798,tt5247022,tt1714915
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0120577,tt0124819,tt0144117,tt0165710
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt0344510,tt1149361,tt0211915,tt0101700
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt0072730,tt1853728,tt0086759,tt8946378
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0077716,tt0081738,tt0088395,tt0082398
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0099810,tt0094898,tt3748528,tt6105098
nm0000470	Jeffrey Jones	1946	\N	actor,soundtrack	tt0086879,tt0091042,tt0091225,tt0109707
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0100404,tt0106220,tt0111301,tt0101272
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0032258,tt0023245,tt0024894,tt0026138
nm0000473	Diane Keaton	1946	\N	actress,producer,soundtrack	tt0337741,tt0356680,tt0075686,tt0073312
nm0000474	Michael Keaton	1951	\N	actor,producer,soundtrack	tt0096895,tt1895587,tt2562232,tt4276820
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack	tt0097733,tt0068069,tt0079268,tt0090585
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt7525642,tt0102138,tt3216866,tt0092569
nm0000477	Mia Kirshner	1975	\N	actress	tt0387877,tt3520702,tt0330251
nm0000478	Tawny Kitaen	1961	2021	actress,producer	tt2797190,tt0087903,tt0111999,tt0086927
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0120863,tt0114194,tt0822854,tt0100758
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt1981115,tt0117731,tt0384537,tt9086228
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0077497,tt0078740,tt0071464,tt0081249
